"laptop_ID","Company","TypeName","Inches","ScreenResolution","Cpu","Ram (GB)","Storage (GB)","SSD or Flash","Gpu","OpSys","Weight","Price_euros"
"1","Apple","Ultrabook","13.3","4k","i5","8","128","1","Intel","Mac OS X","1.37","1339.69"
"2","Apple","Ultrabook","13.3","1440x900","i5","8","128","1","Intel","Mac OS X","1.34","898.94"
"3","HP","Notebook","15.6","1920x1080","i5","8","256","1","Intel","No OS","1.86","575.00"
"4","Apple","Ultrabook","15.4","4k","i7","16","512","1","AMD","Mac OS X","1.83","2537.45"
"5","Apple","Ultrabook","13.3","4k","i5","8","256","1","Intel","Mac OS X","1.37","1803.60"
"6","Acer","Notebook","15.6","1366x768","AMD","64","512","0","AMD","Windows 10","2.1","400.00"
"7","Apple","Ultrabook","15.4","4k","i7","16","256","1","Intel","Mac OS X","2.04","2139.97"
"8","Apple","Ultrabook","13.3","1440x900","i5","8","256","1","Intel","Mac OS X","1.34","1158.70"
"9","Asus","Ultrabook","14","1920x1080","i7","16","512","1","Nvidia","Windows 10","1.3","1495.00"
"10","Acer","Ultrabook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.6","770.00"
"11","HP","Notebook","15.6","1366x768","i5","4","512","0","Intel","No OS","1.86","393.90"
"12","HP","Notebook","15.6","1920x1080","i3","4","512","0","Intel","No OS","1.86","344.99"
"13","Apple","Ultrabook","15.4","4k","i7","16","256","1","AMD","Mac OS X","1.83","2439.97"
"14","Dell","Notebook","15.6","1920x1080","i3","4","256","1","AMD","Windows 10","2.2","498.90"
"15","Apple","Ultrabook","12","4k","i5","8","256","1","Intel","Mac OS X","0.92","1262.40"
"16","Apple","Ultrabook","13.3","4k","i5","8","256","1","Intel","Mac OS X","1.37","1518.55"
"17","Dell","Notebook","15.6","1920x1080","i7","8","256","1","AMD","Windows 10","2.2","745.00"
"18","Apple","Ultrabook","15.4","4k","i7","16","512","1","AMD","Mac OS X","1.83","2858.00"
"19","Lenovo","Notebook","15.6","1920x1080","i3","8","1024","0","Nvidia","No OS","2.2","499.00"
"20","Dell","Ultrabook","13.3","1920x1080","i5","8","128","1","Intel","Windows 10","1.22","979.00"
"22","Lenovo","Gaming","15.6","1920x1080","i5","8","128","1","Nvidia","Windows 10","2.5","999.00"
"23","HP","Notebook","15.6","1366x768","AMD","4","512","0","AMD","No OS","1.86","258.00"
"24","Dell","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.62","819.00"
"25","HP","Ultrabook","15.6","1920x1080","i7","8","256","1","Intel","Windows 10","1.91","659.00"
"26","Dell","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Windows 10","2.3","418.64"
"27","Apple","Ultrabook","13.3","1440x900","i5","8","128","1","Intel","Mac OS X","1.35","1099.00"
"28","Dell","Notebook","15.6","1920x1080","i5","8","256","1","AMD","Windows 10","2.2","800.00"
"29","Dell","Ultrabook","15.6","1920x1080","i7","8","256","1","Intel","Windows 10","1.88","1298.00"
"30","HP","Notebook","17.3","1920x1080","i5","8","1024","0","Nvidia","Windows 10","2.5","896.00"
"32","Asus","Notebook","14","1366x768","AMD","2","32","1","AMD","Windows 10","1.65","199.00"
"33","HP","Notebook","17.3","1920x1080","AMD","4","512","0","AMD","Windows 10","2.71","439.00"
"34","Dell","Ultrabook","13.3","4k","i7","16","512","1","Intel","Windows 10","1.2","1869.00"
"35","Apple","Ultrabook","13.3","1440x900","i5","8","256","1","Intel","Mac OS X","1.35","998.00"
"36","Lenovo","Notebook","14","1366x768","Celeron","4","64","1","Intel","Windows 10","1.44","249.00"
"37","Acer","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Linux","2.1","367.00"
"38","Dell","Notebook","17.3","1920x1080","i5","8","128","1","AMD","Windows 10","2.8","979.00"
"39","HP","Notebook","15.6","1366x768","i5","4","1024","0","Intel","Windows 10","1.86","488.69"
"40","HP","Notebook","15.6","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.1","879.00"
"41","Asus","Notebook","15.6","1920x1080","i3","4","1024","0","Intel","Linux","2","389.00"
"42","Dell","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.65","1499.00"
"43","Asus","Notebook","15.6","1366x768","i5","8","1024","0","Nvidia","Linux","2.3","522.99"
"44","Acer","Notebook","15.6","1920x1080","i5","4","256","1","Intel","Windows 10","2.2","682.00"
"45","Dell","2 in 1 Convertible","17.3","1920x1080","i5","12","1024","0","Nvidia","Windows 10","2.77","999.00"
"46","Apple","Ultrabook","13.3","4k","i5","8","256","1","Intel","Mac OS X","1.37","1419.00"
"47","Lenovo","Notebook","15.6","1366x768","i3","4","128","1","Intel","No OS","2.2","369.00"
"48","Asus","Gaming","17.3","1920x1080","AMD","8","256","1","AMD","Windows 10","3.2","1299.00"
"49","Dell","Notebook","15.6","1920x1080","i5","4","256","1","AMD","Windows 10","2.3","639.00"
"50","Asus","Notebook","17.3","1366x768","Quad Core","4","1024","0","Nvidia","Windows 10","2.8","466.00"
"52","Acer","Notebook","15.6","1920x1080","i7","8","256","1","Nvidia","Windows 10","2.2","841.00"
